"","ATCOCode","NaptanCode","PlateCode","CleardownCode","CommonName","CommonNameLang","ShortCommonName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","Bearing","NptgLocalityCode","LocalityName","ParentLocalityName","GrandParentLocalityName","Town","TownLang","Suburb","SuburbLang","LocalityCentre","GridType","Easting","Northing","Longitude","Latitude","StopType","BusStopType","TimingStatus","DefaultWaitTime","Notes","NotesLang","AdministrativeAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification","Status"
"371747","5710AWA11753","cdimtjd","",NA,"Neville Street","","","","Neville Street Post Office","","Neville Street","","Mandeville Street","","","","SE","E0054020","Riverside","Cardiff","","","","","",1,"U",317350,176409,-3.1915733805,51.4805771072,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:57:15",1,"rev","act"
"371748","5710AWA11754","cdimtja","5601 0180",NA,"Neville Street","","","","","","Neville Street","","Mandeville Street","","","","NW","E0054020","Riverside","Cardiff","","","","","",1,"U",317306,176426,-3.1922108306,51.4807234895,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:56:30",1,"rev","act"
"371749","5710AWA11755","cdidmjw","16",NA,"East Moors Rd","","","","Metal Fabrication","","East Moors Road","","","","","","SE","N0075389","East Moors","Cardiff","","","","","",1,"U",319527,175773,-3.1600859089,51.4751740517,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new","del"
"371750","5710AWA11756","cdidmpa","",NA,"East Moors Rd","","","","Lamby Engineering","","East Moors Road","","","","","","NW","N0075389","East Moors","Cardiff","","","","","",1,"U",319515,175769,-3.1602577408,51.4751363836,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new","del"
"371751","5710AWA11611","cdidtgj","2",NA,"Amherst Street","","","","","","Ferry Road","","Amherst Street","","","","SW","E0054006","Grangetown","Cardiff","","","","","",1,"U",318010,174460,-3.1816185241,51.4631525838,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new","act"
"371752","5710AWA11612","cdidtwg","1",NA,"Kent Street","","","","","","Ferry Road","","Kent Street","","","","NE","E0054006","Grangetown","Cardiff","","","","","",1,"U",318038,174485,-3.1812213666,51.4633813851,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new","act"
"371753","5710AWA11613","cdidtjt","4",NA,"Kent Street","","Cambridge Street","","","","Kent Street","","Cambridge Street","","","","SE","E0054006","Grangetown","Cardiff","","","","","",1,"U",317965,174555,-3.1822882163,51.4640000661,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:51:39",1,"rev","act"
"371754","5710AWA11614","cdidtjw","",NA,"Kent Street","","Cambridge Street","","","","Kent Street","","Cambridge Street","","","","NW","E0054006","Grangetown","Cardiff","","","","","",1,"U",317938,174554,-3.182676561,51.4639871568,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:51:44",1,"rev","act"
"371755","5710AWA11645","cdidwdp","1",NA,"Windsor Terrace","","","","","","Windsor Terrace","","Bute Esplanade","","","","S","N0078138","Cardiff Bay","Cardiff","","","","","",1,"U",318857,174268,-3.1693847655,51.4615488113,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2007-06-25T00:00:00",0,"new","del"
"371756","5710AWA11647","cdiajap","",NA,"Mermaid Quay","","","","Harry Ramsdens","","New George Street","","","","","","S","N0078138","Cardiff Bay","Cardiff","","","","","",1,"U",319082,174458,-3.1661903257,51.4632891032,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:51:42",1,"rev","act"
"371757","5710AWA11757","cdidmtd","3",NA,"RNIB","","Royal National Institution for the Blind","","","","Ocean Way","","East Moors Road","","","","E","N0075389","East Moors","Cardiff","","","","","",1,"U",319493,175953,-3.1606164303,51.476787345,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2007-05-23T00:00:00",0,"new","del"
"371758","5710AWA11758","cdiawg","5601 0631",NA,"Collivaud Place","","","","","","Ocean Way","","","","","","SE","N0075389","East Moors","Cardiff","","","","","",0,"U",319733,175815,-3.1571300148,51.4755809248,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:56:35",1,"rev","act"
"371759","5710AWA11759","cdidjm","5601 0631",NA,"Ocean Way","","","","","","Ocean Way","","Guest Road","","","","NE","N0075389","East Moors","Cardiff","","","","","",0,"U",319957,175691,-3.1538772809,51.4744979882,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:56:38",1,"rev","act"
"371760","5710AWA11672","cdidmg","5601 0542",NA,"Schooner Way","","Cardiff County Hall","","","","Schooner Way","","","","","","NE","N0080096","Atlantic Wharf","Cardiff","","","","","",0,"U",319171,175150,-3.1650679402,51.4695226794,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:56:52",1,"rev","act"
"371761","5710AWA11673","cdiagtd","41",NA,"Schooner Way","","Cardiff County Hall","","Cardiff County Hall","","Schooner Way","","","","","","SW","N0080096","Atlantic Wharf","Cardiff","","","","","",1,"U",319200,175181,-3.1646576243,51.4698055062,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:56:54",1,"rev","act"
"371762","5710AWA11674","cdiagjw","",NA,"Barquentine Place","","Barquentine Place 1","","","","Schooner Way","","Barquentine Place","","","","SE","N0080096","Atlantic Wharf","Cardiff","","","","","",1,"U",319182,175346,-3.1649544991,51.4712862238,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:56:57",1,"rev","act"
"371763","5710AWA11675","cdidjt","",NA,"Barquentine Place","","Barquentine Place 2","","","","Schooner Way","","Barquentine Place","","","","NW","N0080096","Atlantic Wharf","Cardiff","","","","","",0,"U",319166,175352,-3.1651861796,51.4713378728,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T21:57:12",1,"rev","act"
"371764","5710AWA11676","cdiajgt","",NA,"The Wharf","","","","","","Schooner Way","","Celerity Drive","","","","SE","N0080096","Atlantic Wharf","Cardiff","","","","","",1,"U",319163,175641,-3.1652955733,51.4739354506,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new","act"
